#,Timestamp,Hostname,CLD,VAD,LSD,SDI,SPD,ELD,lch_size,zlib_size,zlib_time,lzma_size,lzma_time,bz2_size,bz2_time,gzip_size,gzip_time,cfe_size,commits
29,1679959828,hub,22119,1525629,1125,20935,34,190334,51525,9547,0.0014976629990997,8792,0.0630653110001731,9506,0.0058399649988132,9565,0.001339727999948,149810,4
30,1679959828,ubuntu,21183,1487773,263,20931,34,78687,31869,5987,0.0008597420001024,5600,0.0571590550007385,6226,0.00392611999996,6005,0.0008093230007943,103676,3
30,1679959829,centos,19962,693432,263,10609,34,77730,48613,8015,0.0014063599992368,7400,0.0607912230007059,7749,0.0056466109999746,8033,0.0012943599995196,149689,3
30,1679959829,debian,19441,503882,263,11296,34,79637,44512,7714,0.0014143109983706,7140,0.0600201449997257,7633,0.00522114100022,7732,0.0012262749987712,148631,3
29,1679959829,rhel,19915,722205,263,14920,34,89705,40,39,0.0001061959992512,88,0.0484928360001504,64,8.175699986168183e-05,57,0.0001056519995472,23,3
30,1679960728,hub,22021,1527343,1125,20935,34,187852,45344,8401,0.0013138739996065,7736,0.059948001999146,8335,0.0053131550012039,8419,0.0012184560000605,149211,2
31,1679960728,ubuntu,21165,1490373,263,20931,34,80728,33743,6356,0.0010786900002131,5932,0.0574672849998023,6584,0.0042958600006386,6374,0.00092482600121,113691,3
31,1679960729,centos,19848,689640,263,10609,34,77455,49735,8253,0.0014583169995603,7592,0.0609842640005808,7930,0.0057079319994954,8271,0.0013612769998871,135610,3
31,1679960729,debian,19513,503997,263,11296,34,79655,45310,8086,0.0013793990001431,7448,0.061227496000356,7988,0.0052755399992747,8104,0.0012218459996802,138003,4
30,1679960729,rhel,19915,722205,263,14920,34,89705,40,39,0.0001475600001867,88,0.0454566610005713,64,9.262200001103338e-05,57,0.0001060939994204,23,3
31,1679961629,hub,21999,1523570,1125,20935,34,188144,46134,8208,0.001385987001413,7588,0.0571328500009258,8100,0.0053861750002397,8226,0.0012426880002749,147437,3
32,1679961629,centos,19755,685025,263,10609,34,78508,41077,7626,0.001172761001726,7052,0.0589066949996777,7611,0.0047897130007186,7644,0.0010839179994945,139278,3
32,1679961629,debian,19524,508085,263,11296,34,79811,45359,7594,0.0013502130004781,7016,0.0589800060006382,7429,0.0052747629997611,7612,0.0012028950004605,153444,2
